Cell ID,Plate name,Brain area,Sample name,Reverse transcription date,Reverse transcription thermal block,TSO freeze thaw cycles,Pre PCR delay days,cDNA ampure beads purification date,cDNA concentration measurement date,Library prep date,Library PCR thermal block,Index kit used,Pool name,Type
X105A10_S169,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,Mural
X105A11_S177,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105A12_S185,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105A1_S97,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105A2_S105,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105A3_S113,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105A4_S121,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105A5_S129,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105A6_S137,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105A9_S161,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105B11_S178,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105B12_S186,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105B1_S98,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105B2_S106,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105B3_S114,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105B9_S162,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105C10_S171,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,Mural
X105C11_S179,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105C12_S187,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105C1_S99,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105C2_S107,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105C4_S123,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105C5_S131,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105C7_S147,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105C8_S155,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST1
X105C9_S163,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105D10_S172,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105D11_S180,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,Endothelial
