0,1,2
Ctgf,Rad51ap1,Rac2
Prss23,Tk1,Ctla2b
Cpe,Top2a,Itgb2
Sqle,Ckap2l,Ms4a6d
Thbs1,Pkmyt1,Inpp5d
Timp3,Cdk1,Hcls1
Gria3,Ndc80,Clec4d
Vcl,Oip5,Dennd1c
Epha4,Nsl1,Neurl3
9930013L23Rik,Spc25,Fcgr3
Scd2,Ube2c,C1qc
Chrnb1,Prc1,Fes
Col5a2,Plk1,Fcrls
Agrn,2810417H13Rik,Hpgd
Atp1a1,Cenph,AF251705
Slc4a4,Ska1,Ccl3
Ltbp2,BC030867,Cd52
Sptbn1,Clspn,Lat2
Malat1,Rad51,Tlr7
Fmod,Troap,Csf1r
Ogt,Gmnn,Selplg
Mfsd2a,Esco2,Hhex
9530091C08Rik,Kif4,Trem2
Ccdc80,Aurkb,Rgs1
Adcy6,Rpa2,Gp49a
Cadm2,Ect2,Csf2rb
Fam84b,Kif18a,Ccl9
Nacc2,Cep55,Evi2b
Fgfr1,Spc24,Ucp2
Dag1,Mcm5,Ccl4
Hbegf,Ncapg,Tbxas1
Cald1,Knstrn,Ly86
Prnp,Pold1,Pik3cd
Ogn,Bub1,C1qa
Slc35f1,Kif18b,Fyb
Macf1,Neurl1b,Irf5
Son,Cenpk,AI607873
Pbxip1,Brip1,Fli1
Kdm5b,Ccna2,Bcl2a1d
Sorl1,Lmnb1,C5ar1
Csf1,Fam83d,Wfdc17
Pik3ip1,Cdca8,Clec5a
F3,Anln,Pf4
Slc5a3,Fam64a,Fgd2
Mmp14,Shcbp1,Cd53
Fads3,E2f7,Ms4a6c
Flnb,Pbk,Ctla2a
Tmem47,Mcm7,C3ar1
Cyr61,Tpx2,Clec12a
Tmem106b,Nrm,C1qb
Lama5,Kpna2,Cx3cr1
Serpinh1,Mcm10,Ms4a6b
Lmbrd1,Rrm2,Pld4
Ltbp3,Cenpm,Lyz1
Tulp4,Mcm3,Evi2a
Hist1h2ad,Racgap1,Arl11
Wls,Pola2,Cd48
Dtna,Nuf2,Alox5ap
Insr,Ncapd2,Ctss
