p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.02540371512598e-10,1.91093832662519,1,1,4.35264832495175e-06,0,Ctgf
2.21084018564356e-08,1.29667660512391,1,1,0.000318073577508539,0,Prss23
7.35989243038967e-07,1.02079976580771,1,1,0.0105886772396016,0,Cpe
1.14082483341099e-06,1.29573730644736,1,0.94,0.0164130468782839,0,Sqle
1.85661470647726e-06,1.92066042511993,1,0.96,0.0267111157820884,0,Thbs1
1.85664812574649e-06,1.38220419998572,1,1,0.0267115965851147,0,Timp3
2.23225414155233e-06,1.81133152559174,0.981,0.92,0.0321154403345134,0,Gria3
3.39973224791326e-06,1.27825153039189,1,1,0.0489119478507281,0,Vcl
5.71547943507247e-06,1.29026016751294,1,0.96,0.0822286026323876,0,Epha4
6.02724636034334e-06,2.38054575424832,1,0.98,0.0867139933862596,0,9930013L23Rik
6.24399496283235e-06,1.03957695678534,1,1,0.089832355530269,0,Scd2
8.40336221364294e-06,1.97234841484418,0.824,0.52,0.120899172167681,0,Chrnb1
1.09088896956202e-05,1.02107258741705,1,0.98,0.156946196050888,0,Col5a2
1.3393398710398e-05,1.27235105996567,0.981,0.92,0.192690827246497,0,Agrn
1.38652553691286e-05,1.14531316664989,1,0.98,0.199479428995653,0,Atp1a1
1.8486057663928e-05,1.53149110436094,1,0.96,0.265958911610932,0,Slc4a4
2.07705929204558e-05,0.95025354990785,0.972,0.92,0.298826520346598,0,Ltbp2
2.18549355384004e-05,1.19852598564237,1,1,0.314426957590967,0,Sptbn1
2.22222202599108e-05,1.28172722977904,1,1,0.319711082879336,0,Malat1
2.25950507988669e-05,1.3237865851445,1,0.96,0.325074995843298,0,Fmod
2.33563093382753e-05,1.92793415837206,0.981,0.96,0.336027222449766,0,Ogt
2.39153028559424e-05,1.14388352559859,0.944,0.8,0.344069462188444,0,Mfsd2a
2.3939318202814e-05,3.72794307811821,0.843,0.56,0.344414970983885,0,9530091C08Rik
2.44254223888162e-05,1.7229969792476,0.963,0.82,0.351408551907898,0,Ccdc80
2.81921444337848e-05,1.83343955697138,0.935,0.74,0.405600381968862,0,Adcy6
2.88713363331197e-05,1.90487363789707,0.954,0.88,0.415371915824593,0,Cadm2
3.94150297606718e-05,1.60299048178343,0.944,0.72,0.567064033166785,0,Fam84b
4.71471920486614e-05,0.902699789919183,1,1,0.678306652004091,0,Nacc2
5.02642191622521e-05,1.11757612495458,0.991,0.96,0.723151321087321,0,Fgfr1
5.02668714024879e-05,0.807965108193725,1,1,0.723189478867593,0,Dag1
6.68886526616193e-05,0.910502637920327,1,1,0.962327045842716,0,Hbegf
9.57546231738455e-05,0.873476421895763,1,1,1,0,Cald1
9.72432185338942e-05,0.804054688830389,1,0.96,1,0,Prnp
0.000101841200688202,1.53014050778999,1,0.94,1,0,Ogn
0.000106647744741973,0.822489758801753,1,0.94,1,0,Slc35f1
0.000116915732533032,0.95328099969579,1,0.98,1,0,Macf1
0.000134070706645932,0.874938107193859,1,1,1,0,Son
0.000137149283028788,1.00525138108027,0.991,0.98,1,0,Pbxip1
0.000163087616290848,1.61855272222,0.898,0.72,1,0,Kdm5b
0.00016370682352307,1.36262714898712,0.926,0.8,1,0,Sorl1
0.000189299289430691,0.98477854011121,0.991,0.96,1,0,Csf1
0.000202590646864477,1.1651590417543,0.954,0.8,1,0,Pik3ip1
0.000203589803621106,0.850770527521886,0.963,0.9,1,0,F3
0.000254088260625328,0.999207584876245,1,1,1,0,Slc5a3
0.000255489668433086,0.71115241558873,0.972,0.86,1,0,Mmp14
0.000268095829010771,2.1268777389928,0.907,0.76,1,0,Fads3
0.000289568791700595,0.588871517843115,1,1,1,0,Flnb
0.000302280119723544,1.25763285301517,0.963,0.96,1,0,Tmem47
0.000302392333165532,0.659234543414542,1,1,1,0,Cyr61
0.000329647134684523,1.49658819346069,1,0.96,1,0,Tmem106b
0.000353297158078606,1.55045618485815,0.954,0.88,1,0,Lama5
0.000364142763599096,0.800888609702839,0.981,0.9,1,0,Serpinh1
0.00044097145688062,0.965665839271885,0.991,0.9,1,0,Lmbrd1
0.000443991293794718,0.663591200371446,0.963,0.94,1,0,Ltbp3
0.000450441673289013,1.18757679758199,0.981,0.94,1,0,Tulp4
0.000460590371439864,1.57596304907483,0.278,0.56,1,0,Hist1h2ad
0.000463363712510157,0.958597025197465,1,0.98,1,0,Wls
0.000469742649811437,1.16424655505936,0.963,0.96,1,0,Dtna
0.000477715347503904,1.46298392835386,0.972,0.78,1,0,Insr
0.00048298313715811,1.81547110491252,0.963,0.94,1,0,B3gnt1
0.000488290297243619,1.22450617269805,0.954,0.84,1,0,Smpd1
0.000490056271666643,0.991500013904149,1,0.98,1,0,Mxra8
0.000493486986042809,0.568165570528205,0.991,0.98,1,0,Stt3b
0.000496930258644881,0.833827157657415,1,0.94,1,0,Limch1
0.000539611362224365,2.2701314283872,0.889,0.82,1,0,Bace2
0.000555422143679552,1.16720424707287,0.981,0.98,1,0,Pabpn1
0.000566532979231779,1.67551420538883,0.926,0.82,1,0,Hagh
0.000575186437682125,0.896911569893058,0.926,0.84,1,0,Rnf215
0.000611726255380964,3.66445274895284,0.519,0.24,1,0,A330076H08Rik
0.000616411851374499,1.51312401935812,0.815,0.6,1,0,Col4a2
0.000646387526667718,1.02399792498395,1,1,1,0,Sox9
0.000655307763134652,0.917271318655029,1,1,1,0,Dst
0.000658778299918233,0.990474729248109,0.972,0.86,1,0,Lamb2
0.000664317177597987,0.870977685354792,1,0.94,1,0,Sorbs2
0.000692434103811438,1.2105327156972,0.917,0.86,1,0,Megf10
0.000701651392795713,0.859729992516936,1,1,1,0,Ahnak
0.000705355521011049,0.911370287949498,0.972,0.86,1,0,Cacna1a
0.00070885225658517,1.64951069847325,0.944,0.86,1,0,Col8a1
0.000735644301151789,0.939243582857356,0.991,0.9,1,0,Fgfr2
0.000745338964860142,0.72398277725652,0.944,0.78,1,0,Tmem259
0.000746284695564242,1.77658522666092,0.907,0.88,1,0,Vasn
0.000771635309489979,0.895526833688423,0.991,0.96,1,0,Mpdz
0.000803536379214393,1.07458168002902,1,0.92,1,0,Klhdc8a
0.000808437849769894,1.83928552617349,0.926,0.82,1,0,Inpp5k
0.000813294858253969,0.8051384421893,0.963,0.88,1,0,Pkd1
0.000865308933389797,0.840655840326377,0.991,0.94,1,0,Neat1
0.000880385902437238,1.47946735825745,0.88,0.72,1,0,Atp9a
0.000902436489319579,2.1255736887134,0.796,0.6,1,0,Nalcn
0.000930840471423626,1.11622092071074,0.963,0.92,1,0,Nid2
0.000931075038672228,0.935657747903786,0.963,0.94,1,0,Txndc15
0.000949764258195098,1.59880686506154,0.917,0.84,1,0,Pxdn
0.000982568353096291,0.746232762089127,1,1,1,0,Nedd4
0.000994659267877084,1.19923725651172,0.972,0.88,1,0,Pvrl3
0.000995722574000584,0.788404843779208,1,0.98,1,0,Fn1
0.0010090396717377,0.641089779102369,1,1,1,0,Tcf4
0.00104300723867066,1.48743049446483,0.861,0.7,1,0,Fam174b
0.00104304782834843,0.99917286266208,0.991,0.98,1,0,P4ha1
0.00106344895462739,1.38579481273962,0.963,0.94,1,0,Ptprz1
0.00109245674353509,0.737489372057645,1,0.96,1,0,Kidins220
0.00111097306791061,1.48509068588284,0.898,0.72,1,0,Mapk8ip3
0.00112980914261702,1.41926704024482,0.926,0.84,1,0,Acadsb
0.00113649106821552,1.14790126636682,0.991,0.96,1,0,Parp3
0.00114115523680414,0.988776381355429,0.88,0.68,1,0,Fzd2
0.00117159077939395,1.50705210215036,0.954,0.86,1,0,Farp1
0.00118991026030741,1.230104480534,0.991,0.94,1,0,Fndc3b
0.00121327216671253,1.74310488326304,0.963,0.96,1,0,Adamts1
0.00121362787065633,1.1584811637743,1,0.96,1,0,Atraid
0.00122710131690384,1.47620511799176,0.898,0.68,1,0,Cdk8
0.00124581267351003,0.840196199363828,1,0.98,1,0,Nisch
0.00132103516963251,0.909330980508144,0.889,0.76,1,0,Neu1
0.00133627514454229,3.54565197244294,0.537,0.3,1,0,H2-DMa
0.00134672203306134,0.98672831997176,0.963,0.96,1,0,Tnrc6b
0.00136468118870934,0.777847177270089,0.991,0.96,1,0,Arhgef18
0.00140057738766062,0.591796809375129,1,1,1,0,Laptm4a
0.00140955603976852,1.08021166507228,0.991,0.94,1,0,Prkca
0.00142217750774886,1.28042340323097,0.778,0.5,1,0,Phxr4
0.00155283377273373,0.855248122949197,1,1,1,0,Trip12
0.00158301239888222,1.25919237241996,0.991,0.98,1,0,Sc4mol
0.00161329263982098,1.29297910520055,1,0.88,1,0,Utrn
0.00163160150564302,1.38811956635251,0.944,0.9,1,0,Cyp51
0.00167681812768881,1.02756702257581,0.991,0.96,1,0,Abcc5
0.00171279308924614,1.57304271379174,0.769,0.54,1,0,Nlgn1
0.00172916561965151,1.70181623894745,0.87,0.7,1,0,Arhgef25
0.00173118193735218,1.06297826275579,0.991,0.98,1,0,Amotl2
0.00173722601061356,2.29566606868666,0.5,0.24,1,0,6330415B21Rik
0.00174491795982617,1.00957477062371,0.722,0.52,1,0,Slc35f3
0.00174840175176082,2.76673950599412,0.759,0.62,1,0,Fhdc1
0.00177073348776078,1.21056006685431,0.907,0.82,1,0,Nrbp2
0.0018190708347837,1.38301674899846,0.954,0.9,1,0,Cd59a
0.00187168499313521,1.43709895392802,0.944,0.82,1,0,Tm7sf3
0.00190400738740502,0.907795861743824,1,0.96,1,0,Pja2
0.00190402258858955,0.61802850394375,1,1,1,0,Itgb1
0.00191076666376461,2.651594549227,0.917,0.8,1,0,Lrp4
0.00192569357828281,0.937888495439308,0.963,0.88,1,0,Col4a5
0.00195255832805347,1.00485821186724,0.981,0.96,1,0,Notch2
0.00202733602837243,1.08888378527336,0.981,0.92,1,0,Tob1
0.00207481318198409,1.3701695224912,0.944,0.88,1,0,Dvl1
0.00210029678235238,1.45125732986313,0.815,0.62,1,0,Sec61a2
0.00213133899117182,1.07232009470496,0.972,0.92,1,0,Mir22hg
0.00215710387823382,1.23881522903587,0.954,0.92,1,0,H13
0.00221376369424147,0.67515204690892,1,0.98,1,0,Dner
0.00226394622223891,1.6636570656994,0.787,0.62,1,0,Slit3
0.00226931485177025,0.990510056908254,0.972,0.96,1,0,Ckap4
0.00229092532272255,0.802997100197415,0.815,0.66,1,0,Gm13498
0.00231226555004086,1.72736743542347,0.926,0.82,1,0,Chpf2
0.00237791738034093,1.13795067260125,0.917,0.72,1,0,Npr2
0.00238772771616494,1.20064973071257,0.917,0.86,1,0,Gab1
0.0024542322013677,0.977273809736027,0.917,0.8,1,0,Slc22a17
0.00245882433733331,1.81592898490073,0.972,0.9,1,0,Adcy1
0.00250637191151926,0.592958214658842,0.991,0.96,1,0,Clu
0.0025064480680848,0.523695520531767,1,0.98,1,0,App
0.00256887865090842,0.703505441775432,0.981,0.96,1,0,Gja1
0.0026287676180311,1.17580339837931,0.963,0.86,1,0,Mllt3
0.00265210535778134,1.09893164369878,0.907,0.88,1,0,C1ql3
0.00272949518742896,0.841307378526889,0.963,0.9,1,0,Ginm1
0.00277600842286261,1.02948917045365,0.907,0.82,1,0,Adrb1
0.00279625889221097,1.75575782566844,0.963,0.88,1,0,Pip5k1a
0.00282457906075389,1.44555022130604,0.963,0.8,1,0,Hsd17b7
0.00286124758822237,1.81550067476786,0.935,0.88,1,0,Ccnl2
